Date,Location,AlertCount,AlertLevel,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
01/01/12,Brisbane,0,-1,18,27.9,2.4,5.6,13.1,E,33,SSE,ESE,9,15,55,46,1016.4,1013.9,4,3,25.1,26.9,Yes,No
02/01/12,Brisbane,0,-1,17.8,28.4,0,8,13,E,28,SSE,E,7,11,53,45,1018,1015.7,2,2,25.8,27.2,No,No
03/01/12,Brisbane,0,-1,17.8,27.7,0,9.4,13,E,26,S,ENE,4,13,64,52,1019.4,1016.7,7,1,25,27.3,No,No
04/01/12,Brisbane,0,-1,17.4,28.8,0,7.6,12.7,NNE,28,ESE,NE,2,9,52,48,1017.4,1013,2,2,25.3,28.3,No,No
05/01/12,Brisbane,0,-1,19.8,27.7,0,7.8,6.6,ENE,26,ENE,NE,2,11,68,59,1015.5,1013.2,7,3,26.3,26.2,No,No
06/01/12,Brisbane,0,-1,18.6,31.3,0,7.2,8.3,NE,22,SW,ENE,4,11,62,54,1012.2,1009.5,7,2,25.5,29.1,No,No
07/01/12,Brisbane,0,-1,21.4,28.2,0,7,5.8,E,20,ESE,E,4,9,75,65,1014.9,1012.7,7,5,24.2,27,No,No
08/01/12,Brisbane,0,-1,23.4,30.5,0,6.4,11.6,ENE,26,NNW,NNE,6,11,65,62,1013.1,1009.1,2,1,26.9,28.9,No,No
09/01/12,Brisbane,0,-1,22.8,33.8,0,8,12.7,ENE,24,NW,ENE,6,11,54,57,1007.8,1003.5,2,2,29.7,33,No,No
10/01/12,Brisbane,0,-1,24.6,32.9,0,9,10.6,E,28,S,E,4,15,71,56,1008.7,1005.5,6,1,28.6,30.4,No,No
11/01/12,Brisbane,0,-1,23.2,37.1,0,7.6,11.9,W,33,WSW,WSW,9,11,37,16,1007.3,1003.1,7,5,31.5,36.3,No,No
12/01/12,Brisbane,0,-1,20.9,28.6,0,12.4,9.6,SE,35,SE,E,7,17,46,49,1012.1,1011.4,4,5,27.2,25.8,No,No
13/01/12,Brisbane,0,-1,20.8,28.1,0,10.6,9.7,E,28,E,ENE,6,11,55,53,1016.4,1013.6,5,5,24.8,25.9,No,No
14/01/12,Brisbane,0,-1,19.1,27,0,8,3.1,ENE,26,ENE,ENE,6,13,61,57,1015.3,1012.5,7,7,24.6,25.8,No,Yes
15/01/12,Brisbane,0,-1,19.7,26.3,2.4,7.2,2.8,ENE,37,ESE,SE,11,6,64,63,1014.5,1013,7,7,25.1,25.1,Yes,Yes
16/01/12,Brisbane,0,-1,18.8,25,44.4,3.6,0.2,SE,43,ESE,ESE,9,13,90,75,1016.5,1015,7,7,21.6,23.8,Yes,Yes
17/01/12,Brisbane,0,-1,19.4,26.3,34.2,3.6,0,SE,26,E,SE,9,6,96,93,1016,1013.6,7,7,22.2,22.7,Yes,Yes
