Date,Location,AlertCount,AlertLevel,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
07/01/12,Brisbane,0,-1,21.4,28.2,0,7,5.8,E,20,ESE,E,4,9,75,65,1014.9,1012.7,7,5,24.2,27,No,No
08/01/12,Brisbane,0,-1,23.4,30.5,0,6.4,11.6,ENE,26,NNW,NNE,6,11,65,62,1013.1,1009.1,2,1,26.9,28.9,No,No
09/01/12,Brisbane,0,-1,22.8,33.8,0,8,12.7,ENE,24,NW,ENE,6,11,54,57,1007.8,1003.5,2,2,29.7,33,No,No
10/01/12,Brisbane,0,-1,24.6,32.9,0,9,10.6,E,28,S,E,4,15,71,56,1008.7,1005.5,6,1,28.6,30.4,No,No
11/01/12,Brisbane,0,-1,23.2,37.1,0,7.6,11.9,W,33,WSW,WSW,9,11,37,16,1007.3,1003.1,7,5,31.5,36.3,No,No
12/01/12,Brisbane,0,-1,20.9,28.6,0,12.4,9.6,SE,35,SE,E,7,17,46,49,1012.1,1011.4,4,5,27.2,25.8,No,No
13/01/12,Brisbane,0,-1,20.8,28.1,0,10.6,9.7,E,28,E,ENE,6,11,55,53,1016.4,1013.6,5,5,24.8,25.9,No,No
14/01/12,Brisbane,0,-1,19.1,27,0,8,3.1,ENE,26,ENE,ENE,6,13,61,57,1015.3,1012.5,7,7,24.6,25.8,No,Yes
15/01/12,Brisbane,0,-1,19.7,26.3,2.4,7.2,2.8,ENE,37,ESE,SE,11,6,64,63,1014.5,1013,7,7,25.1,25.1,Yes,Yes
16/01/12,Brisbane,0,-1,18.8,25,44.4,3.6,0.2,SE,43,ESE,ESE,9,13,90,75,1016.5,1015,7,7,21.6,23.8,Yes,Yes
17/01/12,Brisbane,0,-1,19.4,26.3,34.2,3.6,0,SE,26,E,SE,9,6,96,93,1016,1013.6,7,7,22.2,22.7,Yes,Yes
18/01/12,Brisbane,0,-1,20,29.4,5.4,1.6,7.5,E,20,WSW,ENE,6,11,72,70,1012.7,1010.7,2,7,26.2,27.6,Yes,No
19/01/12,Brisbane,0,-1,20.7,30.9,0,5,12.3,ESE,31,SE,ESE,7,17,65,62,1013.9,1011.7,3,2,27.5,29.1,No,No
20/01/12,Brisbane,0,-1,20.6,30.3,0,10,8.8,SE,35,SSE,SE,7,17,64,61,1013.7,1011.9,7,4,26.7,27.5,No,No
21/01/12,Brisbane,0,-1,20,30.2,0,7.6,9.7,ESE,35,SSE,SE,7,15,56,63,1012.5,1010.3,3,7,27.1,27.3,No,No
22/01/12,Brisbane,0,-1,21.1,29.6,0,8,9.7,ENE,37,ESE,ESE,13,11,58,56,1014.3,1012.3,7,7,26.9,28.1,No,No
23/01/12,Brisbane,0,-1,21.1,27.5,0.6,6.6,0.5,SSE,30,ESE,ESE,9,7,73,91,1013.6,1012.7,7,8,26.6,23.2,No,Yes
24/01/12,Brisbane,0,-1,21.1,23.5,31.2,2.2,0,E,33,ESE,ESE,9,13,97,96,1012,1009.9,8,8,23,22.6,Yes,Yes
25/01/12,Brisbane,0,-1,21.3,26.6,168.4,2.6,0.7,NE,26,S,NE,2,6,98,88,1008.5,1005.8,8,8,23.3,24.6,Yes,Yes
26/01/12,Brisbane,0,-1,22,30.5,3.8,2,5.8,ENE,22,NA,ENE,0,7,82,72,1008.1,1006.2,6,7,26.5,28.9,Yes,Yes
27/01/12,Brisbane,0,-1,23.2,25.4,8.6,3.2,0,ESE,33,E,ESE,2,13,95,97,1011.3,1009.3,8,8,24.2,24,Yes,Yes
28/01/12,Brisbane,0,-1,22.1,26.3,8.2,2.2,0,ESE,31,E,E,7,11,88,93,1011.8,1009.4,8,8,24.3,24.2,Yes,Yes
29/01/12,Brisbane,0,-1,21.8,26.3,18,4.6,0,E,30,ESE,ENE,4,7,98,95,1010.2,1007.8,8,8,23.3,25,Yes,Yes
